X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
266|L	NA	782620	NA	NA	595420	NA
267|L	4359000	67820000	2646900	6823300	173610000	3738200
268|L	4359000	65480000	2646900	6823300	244760000	3738200
275|L	NA	NA	NA	NA	24508000	NA
276|L	NA	6847700	NA	NA	11104000	NA
277|L	NA	NA	NA	NA	NA	6766700
278|L	3636300	NA	NA	NA	12475000	NA
279|L	NA	NA	NA	2364400	41590000	NA
280|L	NA	90798000	12693000	NA	129510000	7900600
284|L	NA	65405000	NA	NA	178730000	4595800
285|L	2170300	NA	NA	2893500	6398700	NA
286|L	2170300	37550000	NA	2893500	NA	NA
287|L	NA	37550000	NA	2893500	123850000	NA
288|L	2170300	37550000	NA	2893500	123850000	NA
289|L	NA	1546700	NA	NA	NA	NA
290|L	NA	10514000	NA	NA	96801000	1115900
291|L	NA	1024500	NA	1293100	NA	NA
292|L	NA	6264400	NA	517120	NA	NA
293|L	1446100	133510000	6709500	1132100	80111000	4113600
294|L	NA	NA	717300	NA	NA	NA
295|L	NA	15369000	NA	NA	10710000	NA
296|L	21058000	2761400000	58130000	29270000	1866400000	255050000
297|L	NA	2187700	NA	NA	932150	NA
302|L	NA	6834800	NA	NA	9215100	NA
303|L	NA	295630	NA	NA	5382300	NA
304|L	4803800	84936000	4021900	3599200	117990000	6707500
305|L	5113500	65232000	10951000	8714900	92745000	NA
306|L	132400	273640000	22550000	29910000	463150000	25138000
308|L	NA	876940	NA	NA	NA	NA
310|L	NA	NA	NA	NA	31039000	303160
311|L	NA	26867000	NA	200490	NA	303160
312|L	22540000	963940000	13719000	19442000	1091400000	7467000
313|L	4619600	16931000	36296000	6612400	29198000	16565000
316|L	NA	75070000	NA	NA	85307000	NA
317|L	NA	173400000	NA	346580	2.38e+08	NA
318|L	3984800	105230000	NA	20251000	270730000	6570800
319|L	NA	33709000	NA	NA	72339000	433150
320|L	NA	NA	NA	NA	14994000	NA
321|L	NA	NA	NA	NA	949000	NA
322|L	4045500	288670000	5412100	3078900	9792700	17707000
323|L	2110000	459370000	3194900	14350000	608250000	32085000
324|L	29160000	596820000	11360000	38532000	472380000	13903000
325|L	2045500	12032000	1620100	NA	NA	NA
326|L	NA	7718500	NA	1791300	NA	NA
327|L	4041700	NA	NA	1976400	32562000	NA
328|L	5196200	48005000	4665900	4620300	58554000	1234400
329|L	NA	6189300	NA	NA	NA	NA
330|L	NA	NA	23126000	NA	NA	NA
331|L	NA	16164000	NA	1297800	21433000	NA
333|L	7236800	1323300000	4936900	3236600	945700000	3445200
334|L	4347600	1574500000	10047000	3325300	706800000	20973000
335|L	NA	486580000	4936900	3236600	332300000	31793000
337|L	587160	87366000	NA	494970	66395000	NA
338|L	NA	330120000	3028400	925310	265410000	13558000
339|L	NA	1.574e+09	1274900	NA	1318700000	NA
340|L	1011200	1877800000	2317700	2218100	1236100000	26543000
341|L	NA	606610000	2382900	2071400	250250000	NA
