id	1h_vs_ud|IB	30m_vs_ud|IB	1h_vs_ud|IB2	30m_vs_ud|IB2	1h_vs_ud|KR	30m_vs_ud|KR	1d_vs_ud|IB	6h_vs_ud|IB	1d_vs_ud|IB2	6h_vs_ud|IB2	1d_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
2540	NA	-0.0536512484118732	NA	NA	-0.289353827837184	-0.322721901518259	NA	0.916318330448742	NA	NA	0.732698140419061	0.352535778457168	0.923780882290139	0.222637545259609	3.51394540342918	0.0126590972138944	0.438516816971194	-2.87063987425647
3666	0.951722758015215	-0.139657578888835	0.368834817513618	-0.00464858840356635	0.564935540968942	0.446223316335603	0.50653694117113	-0.366552043034215	0.178871558081958	-0.35954517496214	-0.152216194148103	0.0335892864697343	-0.677713734011387	0.169007886593278	-2.79561285438106	0.0161909091432905	0.442899083685115	-2.88514684129778
1844	NA	NA	NA	-0.133582257228284	0.367680362066411	0.169156646827033	NA	NA	NA	0.154554017112551	-0.0912907755981153	-0.576446782340053	-0.72269488185058	-0.0183214648600762	-3.46083699640798	0.0135035978780303	0.442899083685115	-2.90476669974251
4741	-0.0657197746630996	-0.0147564861383074	NA	NA	-0.354372606443454	NA	-0.0149601465446136	-0.968360269393796	NA	NA	-0.255880887637748	NA	-0.758314078840519	-0.279008361803503	-3.42416969801357	0.0141228852300162	0.442899083685115	-2.92864433876377
1419	-0.450391240392264	-0.258211949604508	-0.417800765743937	-0.219970304785847	-1.09184380836344	0.198532283543901	-0.165140954103494	0.205083112232664	-0.0706649174823546	0.106936775495686	-0.0529450381600068	0.343435905775127	0.647149559820002	-0.15608174179904	2.75625250292631	0.0174157414786588	0.446670561841873	-2.94222672936976
4714	0.268477481927422	NA	NA	-0.513461244838747	NA	-0.191312617934615	-0.0289013242111794	NA	NA	-0.379343449784466	NA	-0.268859131765118	-0.659637670229354	-0.185566714434451	-3.37305397638062	0.0150390377096538	0.442899083685115	-2.96236251227935
4079	NA	0.18523605719024	NA	NA	0.59492323994018	0.231093399707073	NA	0.132056883404712	NA	NA	0.165657453607852	-0.272205374376554	-0.664997485426102	0.17279360991225	-3.37196651457337	0.0150592260613286	0.442899083685115	-2.96308532175611
1316	NA	-0.543871318368052	NA	NA	-0.642956479675254	-0.580650609322897	NA	-0.103389603422316	NA	NA	0.0147813277944773	0.138505458122928	0.66051440702556	-0.286263537478519	3.33384577763135	0.0157861104583426	0.442899083685115	-2.98856751341806
2070	NA	0.00863256430455515	NA	NA	-0.475208101385826	-0.401698901673803	NA	0.139146907829657	NA	NA	0.131203649172774	0.335224041436305	0.712393576018807	-0.0437833067193898	3.32534562644869	0.0159533967012333	0.442899083685115	-2.99428779524467
6204	-0.44662880350338	-0.22762352457113	-0.2168820749849	0.504682284601469	-0.26628566293713	0.303211239315939	-0.285655498806553	0.749858606007487	-0.120965971192957	0.576699351185889	-0.204034840326719	-0.250683810576067	0.612579172555452	0.00964094118432886	2.58754346970342	0.0237840260662779	0.465512867738032	-3.18610453995579
2487	NA	-0.035867856985565	-0.0567770215854235	NA	0.0906776097721614	NA	NA	-0.808472320158486	-0.3307790268021	NA	-0.147234108350423	NA	-0.688421611643516	-0.214742120684972	-3.0457605266074	0.0227011608969902	0.465512867738032	-3.19021065895651
3652	NA	0.105037084346617	NA	NA	-0.643531626688519	0.0948193001695963	NA	-0.21267489261183	NA	NA	-0.327991468151354	0.202222143484239	0.638305252124723	-0.130353243241875	3.00037369337388	0.0240649789949816	0.465512867738032	-3.2234301552496
348	0.996990422503439	-0.173959736453849	0.25169964784934	0.119753606926049	0.459946664095286	0.213264508455396	0.948179393133931	-0.555781229914653	0.312592644616211	0.246181397516223	0.284089878168906	0.266607020598235	-0.646316777868435	0.280797018124543	-2.54510256893686	0.0257155716235801	0.466661153681644	-3.24715634705844
5583	NA	-0.0632032058785927	NA	0.811881162759406	-0.228764928128024	NA	NA	0.457255677755876	NA	0.548988705836966	0.0884889241002766	NA	0.863333348385666	0.269107722740985	2.94372485354942	0.0258932975209016	0.466661153681644	-3.26543818833934
1689	0.138296446177566	0.10097373453398	0.0919607501132855	0.155769973553587	-0.505587875537229	0.242739616850975	0.138892210215869	0.291873658086372	0.171942514129809	0.263404610888533	0.162036914521596	1.33798489418325	0.660325813684355	0.2158572873098	2.52880546182259	0.026497192149069	0.466661153681644	-3.27055796616847
540	NA	0.0544304787767306	NA	NA	-0.711266983484535	0.00066323869504735	NA	-0.29182166512958	NA	NA	-0.000284277163595251	0.117391594825178	0.624051948332334	-0.138481268913459	2.92896118356997	0.0263941334025319	0.466661153681644	-3.27648498598475
3588	1.12900690125452	NA	NA	NA	0.966541728800013	0.724309833851854	-0.949741202086964	NA	NA	NA	0.513778574380657	-0.501332505037213	-1.54910682006448	0.313760555193811	-2.83131077571956	0.0299821873040452	0.466661153681644	-3.3505656416888
5838	NA	-0.136153474502415	NA	NA	-0.521402024787608	-0.641196640524809	NA	0.0725336365775865	NA	NA	0.260058947970784	0.742521388723492	0.928929537438147	-0.0372730277571617	2.82763133674135	0.0301272829498654	0.466661153681644	-3.35339106120213
6525	0.277924836150791	NA	-0.453311854392726	-0.505467764322189	NA	NA	0.375784633904653	NA	0.735762711282435	0.446385744188232	NA	NA	-1.0123115380388	0.146179717801866	-2.80907323570738	0.030870716966472	0.466661153681644	-3.36767896503056
